"id","city_id:id","name","code"
corregimiento_pa_2-2-6,odoopanama_org_vat.district_pa_2-2,"JUAN DIAZ","2-2-6"
corregimiento_pa_2-2-7,odoopanama_org_vat.district_pa_2-2,"RIO HATO","2-2-7"
corregimiento_pa_2-2-8,odoopanama_org_vat.district_pa_2-2,"SAN JUAN DE DIOS","2-2-8"
corregimiento_pa_2-2-9,odoopanama_org_vat.district_pa_2-2,"SANTA RITA","2-2-9"
corregimiento_pa_2-2-10,odoopanama_org_vat.district_pa_2-2,"CABALLERO","2-2-10"
corregimiento_pa_2-3-1,odoopanama_org_vat.district_pa_2-3,"LA PINTADA (CABECERA)","2-3-1"
corregimiento_pa_2-3-2,odoopanama_org_vat.district_pa_2-3,"EL HARINO","2-3-2"
corregimiento_pa_2-3-3,odoopanama_org_vat.district_pa_2-3,"EL POTRERO","2-3-3"
corregimiento_pa_2-3-4,odoopanama_org_vat.district_pa_2-3,"LLANO GRANDE","2-3-4"
corregimiento_pa_2-3-5,odoopanama_org_vat.district_pa_2-3,"PIEDRAS GORDAS","2-3-5"
corregimiento_pa_2-3-6,odoopanama_org_vat.district_pa_2-3,"LAS LOMAS","2-3-6"
corregimiento_pa_2-4-1,odoopanama_org_vat.district_pa_2-4,"NATA (CABECERA)","2-4-1"
corregimiento_pa_2-4-2,odoopanama_org_vat.district_pa_2-4,"CAPELLANIA","2-4-2"
corregimiento_pa_2-4-3,odoopanama_org_vat.district_pa_2-4,"EL CAÑO","2-4-3"
corregimiento_pa_2-4-4,odoopanama_org_vat.district_pa_2-4,"GUZMAN","2-4-4"
corregimiento_pa_2-4-5,odoopanama_org_vat.district_pa_2-4,"LAS HUACAS","2-4-5"
corregimiento_pa_2-4-6,odoopanama_org_vat.district_pa_2-4,"TOZA","2-4-6"
corregimiento_pa_2-5-1,odoopanama_org_vat.district_pa_2-5,"OLA (CABECERA)","2-5-1"
corregimiento_pa_2-5-2,odoopanama_org_vat.district_pa_2-5,"EL COPE","2-5-2"
corregimiento_pa_2-5-3,odoopanama_org_vat.district_pa_2-5,"EL PALMAR","2-5-3"
corregimiento_pa_2-5-4,odoopanama_org_vat.district_pa_2-5,"EL PICACHO","2-5-4"
corregimiento_pa_2-5-5,odoopanama_org_vat.district_pa_2-5,"LA PAVA","2-5-5"
corregimiento_pa_2-6-1,odoopanama_org_vat.district_pa_2-6,"PENONOME (CABECERA)","2-6-1"
corregimiento_pa_2-6-2,odoopanama_org_vat.district_pa_2-6,"CAÑAVERAL","2-6-2"
corregimiento_pa_2-6-3,odoopanama_org_vat.district_pa_2-6,"COCLE","2-6-3"
corregimiento_pa_2-6-4,odoopanama_org_vat.district_pa_2-6,"CHIGUIRI ARRIBA","2-6-4"
corregimiento_pa_2-6-5,odoopanama_org_vat.district_pa_2-6,"EL COCO","2-6-5"
corregimiento_pa_2-6-6,odoopanama_org_vat.district_pa_2-6,"PAJONAL","2-6-6"
corregimiento_pa_2-6-7,odoopanama_org_vat.district_pa_2-6,"RIO GRANDE","2-6-7"
corregimiento_pa_2-6-8,odoopanama_org_vat.district_pa_2-6,"RIO INDIO","2-6-8"
corregimiento_pa_2-6-9,odoopanama_org_vat.district_pa_2-6,"TOABRE","2-6-9"
corregimiento_pa_2-6-10,odoopanama_org_vat.district_pa_2-6,"TULU","2-6-10"
corregimiento_pa_3-1-1,odoopanama_org_vat.district_pa_3-1,"BARRIO NORTE","3-1-1"
corregimiento_pa_3-1-2,odoopanama_org_vat.district_pa_3-1,"BARRIO SUR","3-1-2"
corregimiento_pa_3-1-3,odoopanama_org_vat.district_pa_3-1,"BUENA VISTA","3-1-3"
corregimiento_pa_3-1-4,odoopanama_org_vat.district_pa_3-1,"CATIVA","3-1-4"
corregimiento_pa_3-1-5,odoopanama_org_vat.district_pa_3-1,"CIRICITO","3-1-5"
corregimiento_pa_3-1-6,odoopanama_org_vat.district_pa_3-1,"CRISTOBAL","3-1-6"
corregimiento_pa_3-1-7,odoopanama_org_vat.district_pa_3-1,"ESCOBAL","3-1-7"
corregimiento_pa_3-1-8,odoopanama_org_vat.district_pa_3-1,"LIMON","3-1-8"
corregimiento_pa_3-1-9,odoopanama_org_vat.district_pa_3-1,"NUEVA PROVIDENCIA","3-1-9"
corregimiento_pa_3-1-10,odoopanama_org_vat.district_pa_3-1,"PUERTO PILON","3-1-10"
corregimiento_pa_3-1-11,odoopanama_org_vat.district_pa_3-1,"SABANITAS","3-1-11"
corregimiento_pa_3-1-12,odoopanama_org_vat.district_pa_3-1,"SALAMANCA","3-1-12"
corregimiento_pa_3-1-13,odoopanama_org_vat.district_pa_3-1,"SAN JUAN","3-1-13"
corregimiento_pa_3-1-14,odoopanama_org_vat.district_pa_3-1,"SANTA ROSA","3-1-14"
corregimiento_pa_3-2-1,odoopanama_org_vat.district_pa_3-2,"NUEVO CHAGRES (CABECERA)","3-2-1"
corregimiento_pa_3-2-2,odoopanama_org_vat.district_pa_3-2,"ACHIOTE","3-2-2"
corregimiento_pa_3-2-3,odoopanama_org_vat.district_pa_3-2,"EL GUABO","3-2-3"
corregimiento_pa_3-2-4,odoopanama_org_vat.district_pa_3-2,"LA ENCANTADA","3-2-4"
corregimiento_pa_3-2-5,odoopanama_org_vat.district_pa_3-2,"PALMAS BELLAS","3-2-5"
corregimiento_pa_3-2-6,odoopanama_org_vat.district_pa_3-2,"PIÑA","3-2-6"
corregimiento_pa_3-2-7,odoopanama_org_vat.district_pa_3-2,"SALUD","3-2-7"
corregimiento_pa_3-3-1,odoopanama_org_vat.district_pa_3-3,"MIGUEL DE LA BORDA (CABECERA)","3-3-1"
corregimiento_pa_3-3-2,odoopanama_org_vat.district_pa_3-3,"COCLE DEL NORTE","3-3-2"
corregimiento_pa_3-3-3,odoopanama_org_vat.district_pa_3-3,"EL GUASIMO","3-3-3"
corregimiento_pa_3-3-4,odoopanama_org_vat.district_pa_3-3,"GOBEA","3-3-4"
corregimiento_pa_3-3-5,odoopanama_org_vat.district_pa_3-3,"RIO INDIO","3-3-5"
corregimiento_pa_3-3-6,odoopanama_org_vat.district_pa_3-3,"SAN JOSE DEL GENERAL","3-3-6"
corregimiento_pa_3-4-1,odoopanama_org_vat.district_pa_3-4,"PORTOBELO (CABECERA)","3-4-1"
corregimiento_pa_3-4-2,odoopanama_org_vat.district_pa_3-4,"CACIQUE","3-4-2"
corregimiento_pa_3-4-3,odoopanama_org_vat.district_pa_3-4,"GARROTE","3-4-3"
corregimiento_pa_3-4-4,odoopanama_org_vat.district_pa_3-4,"ISLA GRANDE","3-4-4"
corregimiento_pa_3-4-5,odoopanama_org_vat.district_pa_3-4,"MARIA CHIQUITA","3-4-5"
corregimiento_pa_3-5-1,odoopanama_org_vat.district_pa_3-5,"PALENQUE (CABECERA)","3-5-1"
corregimiento_pa_3-5-2,odoopanama_org_vat.district_pa_3-5,"CUANGO","3-5-2"
corregimiento_pa_3-5-3,odoopanama_org_vat.district_pa_3-5,"MIRAMAR","3-5-3"
corregimiento_pa_3-5-4,odoopanama_org_vat.district_pa_3-5,"NOMBRE DE DIOS","3-5-4"
corregimiento_pa_3-5-5,odoopanama_org_vat.district_pa_3-5,"PALMIRA","3-5-5"
corregimiento_pa_3-5-6,odoopanama_org_vat.district_pa_3-5,"PLAYA CHIQUITA","3-5-6"
corregimiento_pa_3-5-7,odoopanama_org_vat.district_pa_3-5,"SANTA ISABEL","3-5-7"
corregimiento_pa_3-5-8,odoopanama_org_vat.district_pa_3-5,"VIENTO FRIO","3-5-8"
corregimiento_pa_4-1-1,odoopanama_org_vat.district_pa_4-1,"ALANJE (CABECERA)","4-1-1"
corregimiento_pa_4-1-2,odoopanama_org_vat.district_pa_4-1,"DIVALA","4-1-2"
corregimiento_pa_4-1-3,odoopanama_org_vat.district_pa_4-1,"EL TEJAR","4-1-3"
corregimiento_pa_4-1-4,odoopanama_org_vat.district_pa_4-1,"GUARUMAL","4-1-4"
corregimiento_pa_4-1-5,odoopanama_org_vat.district_pa_4-1,"PALO GRANDE","4-1-5"
corregimiento_pa_4-1-6,odoopanama_org_vat.district_pa_4-1,"QUEREVALO","4-1-6"
corregimiento_pa_4-1-7,odoopanama_org_vat.district_pa_4-1,"SANTO TOMAS","4-1-7"
corregimiento_pa_4-1-8,odoopanama_org_vat.district_pa_4-1,"CANTA GALLO","4-1-8"
corregimiento_pa_4-1-9,odoopanama_org_vat.district_pa_4-1,"NUEVO MEXICO","4-1-9"
corregimiento_pa_4-2-1,odoopanama_org_vat.district_pa_4-2,"PUERTO ARMUELLES (CABECERA)","4-2-1"
corregimiento_pa_4-2-2,odoopanama_org_vat.district_pa_4-2,"LIMONES","4-2-2"
corregimiento_pa_4-2-3,odoopanama_org_vat.district_pa_4-2,"PROGRESO","4-2-3"
corregimiento_pa_4-2-4,odoopanama_org_vat.district_pa_4-2,"BACO","4-2-4"
corregimiento_pa_4-2-5,odoopanama_org_vat.district_pa_4-2,"RODOLFO AGUILAR DELGADO","4-2-5"
corregimiento_pa_4-3-1,odoopanama_org_vat.district_pa_4-3,"BOQUERON (CABECERA)","4-3-1"
corregimiento_pa_4-3-2,odoopanama_org_vat.district_pa_4-3,"BAGALA","4-3-2"
corregimiento_pa_4-3-3,odoopanama_org_vat.district_pa_4-3,"CORDILLERA","4-3-3"
corregimiento_pa_4-3-4,odoopanama_org_vat.district_pa_4-3,"GUABAL","4-3-4"
corregimiento_pa_4-3-5,odoopanama_org_vat.district_pa_4-3,"GUAYABAL","4-3-5"
corregimiento_pa_4-3-6,odoopanama_org_vat.district_pa_4-3,"PARAISO","4-3-6"
corregimiento_pa_4-3-7,odoopanama_org_vat.district_pa_4-3,"PEDREGAL","4-3-7"
corregimiento_pa_4-3-8,odoopanama_org_vat.district_pa_4-3,"TIJERAS","4-3-8"
corregimiento_pa_4-4-1,odoopanama_org_vat.district_pa_4-4,"BAJO BOQUETE (CABECERA)","4-4-1"
corregimiento_pa_4-4-2,odoopanama_org_vat.district_pa_4-4,"CALDERA","4-4-2"
corregimiento_pa_4-4-3,odoopanama_org_vat.district_pa_4-4,"PALMIRA","4-4-3"
corregimiento_pa_4-4-4,odoopanama_org_vat.district_pa_4-4,"ALTO BOQUETE","4-4-4"
corregimiento_pa_4-4-5,odoopanama_org_vat.district_pa_4-4,"JARAMILLO","4-4-5"
corregimiento_pa_4-4-6,odoopanama_org_vat.district_pa_4-4,"LOS NARANJOS","4-4-6"
corregimiento_pa_4-5-1,odoopanama_org_vat.district_pa_4-5,"LA CONCEPCION (CABECERA)","4-5-1"
corregimiento_pa_4-5-2,odoopanama_org_vat.district_pa_4-5,"ASERRIO DE GARICHE","4-5-2"
corregimiento_pa_4-5-3,odoopanama_org_vat.district_pa_4-5,"BUGABA","4-5-3"
corregimiento_pa_4-5-4,odoopanama_org_vat.district_pa_4-5,"CERRO PUNTA","4-5-4"
corregimiento_pa_4-5-5,odoopanama_org_vat.district_pa_4-5,"GOMEZ","4-5-5"
corregimiento_pa_4-5-6,odoopanama_org_vat.district_pa_4-5,"LA ESTRELLA","4-5-6"
corregimiento_pa_4-5-7,odoopanama_org_vat.district_pa_4-5,"SAN ANDRES","4-5-7"
corregimiento_pa_4-5-8,odoopanama_org_vat.district_pa_4-5,"SANTA MARTA","4-5-8"
corregimiento_pa_4-5-9,odoopanama_org_vat.district_pa_4-5,"SANTA ROSA","4-5-9"
corregimiento_pa_4-5-10,odoopanama_org_vat.district_pa_4-5,"SANTO DOMINGO","4-5-10"
corregimiento_pa_4-5-11,odoopanama_org_vat.district_pa_4-5,"SORTOVA","4-5-11"
corregimiento_pa_4-5-12,odoopanama_org_vat.district_pa_4-5,"VOLCAN","4-5-12"
corregimiento_pa_4-5-13,odoopanama_org_vat.district_pa_4-5,"EL BONGO","4-5-13"
corregimiento_pa_4-6-1,odoopanama_org_vat.district_pa_4-6,"DAVID (CABECERA)","4-6-1"
corregimiento_pa_4-6-2,odoopanama_org_vat.district_pa_4-6,"BIJAGUAL","4-6-2"
corregimiento_pa_4-6-3,odoopanama_org_vat.district_pa_4-6,"COCHEA","4-6-3"
corregimiento_pa_4-6-4,odoopanama_org_vat.district_pa_4-6,"CHIRIQUI","4-6-4"
corregimiento_pa_4-6-5,odoopanama_org_vat.district_pa_4-6,"GUACA","4-6-5"
corregimiento_pa_4-6-6,odoopanama_org_vat.district_pa_4-6,"LAS LOMAS","4-6-6"
corregimiento_pa_4-6-7,odoopanama_org_vat.district_pa_4-6,"PEDREGAL","4-6-7"
corregimiento_pa_4-6-8,odoopanama_org_vat.district_pa_4-6,"SAN CARLOS","4-6-8"
corregimiento_pa_4-6-9,odoopanama_org_vat.district_pa_4-6,"SAN PABLO NUEVO","4-6-9"
corregimiento_pa_4-6-10,odoopanama_org_vat.district_pa_4-6,"SAN PABLO VIEJO","4-6-10"
corregimiento_pa_4-7-1,odoopanama_org_vat.district_pa_4-7,"DOLEGA (CABECERA)","4-7-1"
corregimiento_pa_4-7-2,odoopanama_org_vat.district_pa_4-7,"DOS RIOS","4-7-2"
corregimiento_pa_4-7-3,odoopanama_org_vat.district_pa_4-7,"LOS ANASTACIOS","4-7-3"
corregimiento_pa_4-7-4,odoopanama_org_vat.district_pa_4-7,"POTRERILLOS","4-7-4"
corregimiento_pa_4-7-5,odoopanama_org_vat.district_pa_4-7,"POTRERILLOS ABAJO","4-7-5"
corregimiento_pa_4-7-6,odoopanama_org_vat.district_pa_4-7,"ROVIRA","4-7-6"
corregimiento_pa_4-7-7,odoopanama_org_vat.district_pa_4-7,"TINAJAS","4-7-7"
corregimiento_pa_4-7-8,odoopanama_org_vat.district_pa_4-7,"LOS ALGARRROBOS","4-7-8"
corregimiento_pa_4-8-1,odoopanama_org_vat.district_pa_4-8,"GUALACA (CABECERA)","4-8-1"
corregimiento_pa_4-8-2,odoopanama_org_vat.district_pa_4-8,"HORNITO","4-8-2"
corregimiento_pa_4-8-3,odoopanama_org_vat.district_pa_4-8,"LOS ANGELES","4-8-3"
corregimiento_pa_4-8-4,odoopanama_org_vat.district_pa_4-8,"PAJA DE SOMBRERO","4-8-4"
corregimiento_pa_4-8-5,odoopanama_org_vat.district_pa_4-8,"RINCON","4-8-5"
corregimiento_pa_4-9-1,odoopanama_org_vat.district_pa_4-9,"REMEDIOS (CABECERA)","4-9-1"
corregimiento_pa_4-9-2,odoopanama_org_vat.district_pa_4-9,"EL NANCITO","4-9-2"
corregimiento_pa_4-9-3,odoopanama_org_vat.district_pa_4-9,"EL PORVENIR","4-9-3"
corregimiento_pa_4-9-4,odoopanama_org_vat.district_pa_4-9,"EL PUERTO","4-9-4"
corregimiento_pa_4-9-5,odoopanama_org_vat.district_pa_4-9,"SANTA LUCIA","4-9-5"
corregimiento_pa_4-10-1,odoopanama_org_vat.district_pa_4-10,"RIO SERENO (CABECERA)","4-10-1"
corregimiento_pa_4-10-2,odoopanama_org_vat.district_pa_4-10,"BREÑON","4-10-2"
corregimiento_pa_4-10-3,odoopanama_org_vat.district_pa_4-10,"CAÑAS GORDAS","4-10-3"
corregimiento_pa_4-10-4,odoopanama_org_vat.district_pa_4-10,"MONTE LIRIO","4-10-4"
corregimiento_pa_4-10-5,odoopanama_org_vat.district_pa_4-10,"PLAZA CAISAN","4-10-5"
corregimiento_pa_4-10-6,odoopanama_org_vat.district_pa_4-10,"SANTA CRUZ","4-10-6"
corregimiento_pa_4-10-7,odoopanama_org_vat.district_pa_4-10,"DOMINICAL","4-10-7"
corregimiento_pa_4-10-8,odoopanama_org_vat.district_pa_4-10,"SANTA CLARA","4-10-8"
corregimiento_pa_4-11-1,odoopanama_org_vat.district_pa_4-11,"LAS LAJAS (CABECERA)","4-11-1"
corregimiento_pa_4-11-2,odoopanama_org_vat.district_pa_4-11,"JUAY","4-11-2"
corregimiento_pa_4-11-3,odoopanama_org_vat.district_pa_4-11,"LAJAS ADENTRO","4-11-3"
corregimiento_pa_4-11-4,odoopanama_org_vat.district_pa_4-11,"SAN FELIX","4-11-4"
corregimiento_pa_4-11-5,odoopanama_org_vat.district_pa_4-11,"SANTA CRUZ","4-11-5"
corregimiento_pa_4-12-1,odoopanama_org_vat.district_pa_4-12,"HORCONCITOS (CABECERA)","4-12-1"
corregimiento_pa_4-12-2,odoopanama_org_vat.district_pa_4-12,"BOCA CHICA","4-12-2"
corregimiento_pa_4-12-3,odoopanama_org_vat.district_pa_4-12,"BOCA DEL MONTE","4-12-3"
corregimiento_pa_4-12-4,odoopanama_org_vat.district_pa_4-12,"SAN JUAN","4-12-4"
corregimiento_pa_4-12-5,odoopanama_org_vat.district_pa_4-12,"SAN LORENZO","4-12-5"
corregimiento_pa_4-13-1,odoopanama_org_vat.district_pa_4-13,"TOLE (CABECERA)","4-13-1"
corregimiento_pa_4-13-2,odoopanama_org_vat.district_pa_4-13,"BELLA VISTA","4-13-2"
corregimiento_pa_4-13-3,odoopanama_org_vat.district_pa_4-13,"CERRO VIEJO","4-13-3"
corregimiento_pa_4-13-4,odoopanama_org_vat.district_pa_4-13,"EL CRISTO","4-13-4"
corregimiento_pa_4-13-5,odoopanama_org_vat.district_pa_4-13,"JUSTO FIDEL PALACIOS","4-13-5"
corregimiento_pa_4-13-6,odoopanama_org_vat.district_pa_4-13,"LAJAS DE TOLE","4-13-6"
corregimiento_pa_4-13-7,odoopanama_org_vat.district_pa_4-13,"POTRERO DE CAÑA","4-13-7"
corregimiento_pa_4-13-8,odoopanama_org_vat.district_pa_4-13,"QUEBRADA DE PIEDRA","4-13-8"
corregimiento_pa_4-13-9,odoopanama_org_vat.district_pa_4-13,"VELADERO","4-13-9"
corregimiento_pa_5-1-1,odoopanama_org_vat.district_pa_5-1,"LA PALMA (CABECERA)","5-1-1"
corregimiento_pa_5-1-2,odoopanama_org_vat.district_pa_5-1,"CAMOGANTI","5-1-2"
corregimiento_pa_5-1-3,odoopanama_org_vat.district_pa_5-1,"CHEPIGANA","5-1-3"
corregimiento_pa_5-1-4,odoopanama_org_vat.district_pa_5-1,"GARACHINE","5-1-4"
corregimiento_pa_5-1-5,odoopanama_org_vat.district_pa_5-1,"JAQUE","5-1-5"
corregimiento_pa_5-1-6,odoopanama_org_vat.district_pa_5-1,"PUERTO PIÑA","5-1-6"
corregimiento_pa_5-1-7,odoopanama_org_vat.district_pa_5-1,"RIO CONGO","5-1-7"
corregimiento_pa_5-1-8,odoopanama_org_vat.district_pa_5-1,"RIO IGLESIAS","5-1-8"
corregimiento_pa_5-1-9,odoopanama_org_vat.district_pa_5-1,"SAMBU","5-1-9"
corregimiento_pa_5-1-10,odoopanama_org_vat.district_pa_5-1,"SETEGANTI","5-1-10"
corregimiento_pa_5-1-11,odoopanama_org_vat.district_pa_5-1,"TAIMATI","5-1-11"
corregimiento_pa_5-1-12,odoopanama_org_vat.district_pa_5-1,"TUCUTI","5-1-12"
corregimiento_pa_5-1-13,odoopanama_org_vat.district_pa_5-1,"AGUA FRIA","5-1-13"
corregimiento_pa_5-1-14,odoopanama_org_vat.district_pa_5-1,"CUCUNATI","5-1-14"
corregimiento_pa_5-1-15,odoopanama_org_vat.district_pa_5-1,"RIO CONGO ARRIBA","5-1-15"
corregimiento_pa_5-1-16,odoopanama_org_vat.district_pa_5-1,"SANTA FE","5-1-16"
corregimiento_pa_5-2-1,odoopanama_org_vat.district_pa_5-2,"EL REAL DE SANTA MARIA (CABECERA)","5-2-1"
corregimiento_pa_5-2-2,odoopanama_org_vat.district_pa_5-2,"BOCA DE CUPE","5-2-2"
corregimiento_pa_5-2-3,odoopanama_org_vat.district_pa_5-2,"PAYA","5-2-3"
corregimiento_pa_5-2-4,odoopanama_org_vat.district_pa_5-2,"PINOGANA","5-2-4"
corregimiento_pa_5-2-5,odoopanama_org_vat.district_pa_5-2,"PUCURO","5-2-5"
corregimiento_pa_5-2-6,odoopanama_org_vat.district_pa_5-2,"YAPE","5-2-6"
corregimiento_pa_5-2-7,odoopanama_org_vat.district_pa_5-2,"YAVIZA","5-2-7"
corregimiento_pa_5-2-8,odoopanama_org_vat.district_pa_5-2,"METETI","5-2-8"
corregimiento_pa_5-2-9,odoopanama_org_vat.district_pa_5-2,"COMARCA KUNA DE WARGANDI","5-2-9"
corregimiento_pa_6-1-1,odoopanama_org_vat.district_pa_6-1,"CHITRE (CABECERA)","6-1-1"
corregimiento_pa_6-1-2,odoopanama_org_vat.district_pa_6-1,"LA ARENA","6-1-2"
corregimiento_pa_6-1-3,odoopanama_org_vat.district_pa_6-1,"MONAGRILLO","6-1-3"
corregimiento_pa_6-1-4,odoopanama_org_vat.district_pa_6-1,"LLANO BONITO","6-1-4"
corregimiento_pa_6-1-5,odoopanama_org_vat.district_pa_6-1,"SAN JUAN BAUTISTA","6-1-5"
corregimiento_pa_6-2-1,odoopanama_org_vat.district_pa_6-2,"LAS MINAS (CABECERA)","6-2-1"
corregimiento_pa_6-2-2,odoopanama_org_vat.district_pa_6-2,"CHEPO","6-2-2"
corregimiento_pa_6-2-3,odoopanama_org_vat.district_pa_6-2,"CHUMICAL","6-2-3"
corregimiento_pa_6-2-4,odoopanama_org_vat.district_pa_6-2,"EL TORO","6-2-4"
corregimiento_pa_6-2-5,odoopanama_org_vat.district_pa_6-2,"LEONES","6-2-5"
corregimiento_pa_6-2-6,odoopanama_org_vat.district_pa_6-2,"QUEBRADA DEL ROSARIO","6-2-6"
corregimiento_pa_6-2-7,odoopanama_org_vat.district_pa_6-2,"QUEBRADA EL CIPRIAN","6-2-7"
corregimiento_pa_6-3-1,odoopanama_org_vat.district_pa_6-3,"LOS POZOS (CABECERA)","6-3-1"
corregimiento_pa_6-3-2,odoopanama_org_vat.district_pa_6-3,"CAPURI","6-3-2"
corregimiento_pa_6-3-3,odoopanama_org_vat.district_pa_6-3,"EL CALABACITO","6-3-3"
corregimiento_pa_6-3-4,odoopanama_org_vat.district_pa_6-3,"EL CEDRO","6-3-4"
corregimiento_pa_6-3-5,odoopanama_org_vat.district_pa_6-3,"LA ARENA","6-3-5"
corregimiento_pa_6-3-6,odoopanama_org_vat.district_pa_6-3,"LA PITALOSA","6-3-6"
corregimiento_pa_6-3-7,odoopanama_org_vat.district_pa_6-3,"LOS CERRITOS","6-3-7"
corregimiento_pa_6-3-8,odoopanama_org_vat.district_pa_6-3,"LOS CERROS DE PAJA","6-3-8"
corregimiento_pa_6-3-9,odoopanama_org_vat.district_pa_6-3,"LAS LLANAS","6-3-9"
corregimiento_pa_6-4-1,odoopanama_org_vat.district_pa_6-4,"OCU (CABECERA)","6-4-1"
corregimiento_pa_6-4-2,odoopanama_org_vat.district_pa_6-4,"CERRO LARGO","6-4-2"
corregimiento_pa_6-4-3,odoopanama_org_vat.district_pa_6-4,"LOS LLANOS","6-4-3"
corregimiento_pa_6-4-4,odoopanama_org_vat.district_pa_6-4,"LLANO GRANDE","6-4-4"
corregimiento_pa_6-4-5,odoopanama_org_vat.district_pa_6-4,"PEÑAS CHATAS","6-4-5"
corregimiento_pa_6-4-6,odoopanama_org_vat.district_pa_6-4,"EL TIJERA","6-4-6"
corregimiento_pa_6-4-7,odoopanama_org_vat.district_pa_6-4,"MENCHACA","6-4-7"
corregimiento_pa_6-5-1,odoopanama_org_vat.district_pa_6-5,"PARITA (CABECERA)","6-5-1"
corregimiento_pa_6-5-2,odoopanama_org_vat.district_pa_6-5,"CABUYA","6-5-2"
corregimiento_pa_6-5-3,odoopanama_org_vat.district_pa_6-5,"LOS CASTILLOS","6-5-3"
corregimiento_pa_6-5-4,odoopanama_org_vat.district_pa_6-5,"LLANO DE LA CRUZ","6-5-4"
corregimiento_pa_6-5-5,odoopanama_org_vat.district_pa_6-5,"PARIS","6-5-5"
corregimiento_pa_6-5-6,odoopanama_org_vat.district_pa_6-5,"PORTOBELILLO","6-5-6"
corregimiento_pa_6-5-7,odoopanama_org_vat.district_pa_6-5,"POTUGA","6-5-7"
corregimiento_pa_6-6-1,odoopanama_org_vat.district_pa_6-6,"PESE (CABECERA)","6-6-1"
corregimiento_pa_6-6-2,odoopanama_org_vat.district_pa_6-6,"LAS CABRAS","6-6-2"
corregimiento_pa_6-6-3,odoopanama_org_vat.district_pa_6-6,"EL PAJARO","6-6-3"
corregimiento_pa_6-6-4,odoopanama_org_vat.district_pa_6-6,"EL BARRERO","6-6-4"
corregimiento_pa_6-6-5,odoopanama_org_vat.district_pa_6-6,"EL PEDREGOSO","6-6-5"
corregimiento_pa_6-6-6,odoopanama_org_vat.district_pa_6-6,"EL CIRUELO","6-6-6"
corregimiento_pa_6-6-7,odoopanama_org_vat.district_pa_6-6,"SABANAGRANDE","6-6-7"
corregimiento_pa_6-6-8,odoopanama_org_vat.district_pa_6-6,"RINCON HONDO","6-6-8"
corregimiento_pa_6-7-1,odoopanama_org_vat.district_pa_6-7,"SANTA MARIA (CABECERA)","6-7-1"
corregimiento_pa_6-7-2,odoopanama_org_vat.district_pa_6-7,"CHUPAMPA","6-7-2"
